movie_title;imdb_key;release_date;genre
Gone Girl;tt2267998;2014;Drama, Thriller, Mystery
Silver Linings Playbook;tt1045658;2012;Comedy, Drama, Romantic
Flight;tt1907668;2012;Drama, Thriller
The Girl with the Dragon Tattoo;tt1568346;2011;Detective, Drama, Mystery
Crazy,Stupid,Love;tt1570728;2011;Comedy, Drama, Romantic
Friends with Benefits;tt1632708;2011;Comedy, Romantic
The Help;tt1454029;2011;Drama
The Social Network;tt1285016;2010;Biographic, Drama
Up in the Air;tt1193138;2009;Comedy, Drama, Romantic
The Ugly Truth;tt1142988;2009;Comedy, Romantic
Marley & Me;tt0822832;2008;Drama, Family
The Day the Earth Stood Still;tt0970416;2008;Adventure, Drama, Science-fiction
Juno;tt0467406;2007;Comedy, Drama
Crash;tt0375679;2004;Detective, Drama, Thriller
As Good as It Gets;tt0119822;1997;Comedy, Drama, Romantic
Titanic;tt0120338;1997;Drama, Romantic
Forrest Gump;tt0109830;1994;Drama, Romantic
Pulp Fiction;tt0110912;1994;Detective, Drama
Sleepless in Seattle;tt0108160;1993;Comedy, Drama, Romantic
Indiana Jones and the Last Crusade;tt0097576;1989;Action, Adventure
